Original_Text,True_Label,Predicted_Label,Confidence (%),Text_Length
هدفت الدراسة الحالية إلى الكشف عن الأساليب التدريسية الحديثة و علاقتها ببعض السمات الشخصية حسب نمطي السيطرة الدماغية ( الأيمن و الأيسر) عند أساتذة التربية البدنية و الرياضية في التعليم المتوسط. و قد استخدمت الدراسة المنهج الوصفي الارتباطي. تكونت عينة الدراسة من (20) أستاذاً من أساتذة التربية البدنية و الرياضية في التعليم المتوسط. و قد استخدم الباحث استبيان الأساليب التدريسية الحديثة و استبيان نمط السيطرة الدماغية. و قد أظهرت نتائج الدراسة أن هناك فروقاً ذات دلالة إحصائية عند مستوى دلالة (0.05) في الأساليب التدريسية الحديثة تعزى لمتغير نمط السيطرة الدماغية (الأيمن و الأيسر) لصالح نمط السيطرة الدماغية الأيمن. و أوصت الدراسة بضرورة توجيه أساتذة التربية البدنية و الرياضية في التعليم المتوسط إلى استخدام الأساليب التدريسية الحديثة التي تتناسب مع نمط السيطرة الدماغية.,ai,human,86.33%,122
يعتبر عموم المشترك من المسائل الأصولية التي اختلف فيها أئمة الأصول بعد اتفاقهم على وقوع الاشتراك في كلام العرب ووروده في القرآن والسنة. وكان لاختلاف الأصوليين في هذه المسألة ظلال على اختلاف الفقهاء في قضايا فقهية. فجاء هذا البحث ليسلط الضوء على مسألة عموم المشترك من جهة التأصيل لهها ومن جهة بيان بعض ما بُني عليها من الفروع الفقهية. واعتمد البحث على المنهج الاستقرائي من أجل جمع وحصر الآراء الأصولية ونسبتها إلى أصحابها. كما اعتمد على المنهج التحليلي والمقارن وذلك بغية فهم مقاصد الأصوليين ومناقشة أدلة كل فريق في ضوء قواعد الفقه المقارن. وانتهى البحث إلى أن المشترك يجوز أن يطلق لغة على كل معنى من معانيه على سبيل البدل، بدليل الوقوع، أما إرادة جميع المعاني منه في نص واحد، فمخالفة لوضعه في اللغة. ثم إن البحث قدّم عشرة أمثلة كتفريع فقهي على هذا الأصل المختلف، والتي تبين أن الاختلاف الأصولي في موضوع البحث خلاف حقيقي وليس خلافا صوريا.,human,ai,51.39%,149
تلعب الصكوك الإسلامية دورا كبيرا في تطوير سوق رأس المال الإسلامي كما أنها تختلف في جوهرها وفلسفتها عن السندات التقليدية. تهدف هذه الدراسة إلى تحليل ومقارنة سلوك العائد، المخاطرة وعلاوة المخاطرة للصكوك الإسلامية والسندات التقليدية بالاعتماد على البيانات اليومية لكل من مؤشر داوجونز للصكوك الإسلامية ومؤشرين للسندات التقليدية (مؤشر ستاندارد آند بورز 500 لسندات الشركات الأمريكية، ومؤشر ستاندارد آند بورز لسندات الخزينة الأمريكية) خلال الفترة 30/05/2008-20/10/2017. استخدمنا تحليل السلاسل الزمنية والاستقرارية، الارتباط ونموذج الانحدار الذاتي المشروطة بعدم تجانس التباين المعممة (GARCH-M)، بالإضافة إلى إجراء اختبار السببية لغرانجر. خلصت الدراسة إلى أن مؤشر الصكوك ذو مخاطر كلية أعلى ومتوسط عائد أدنى مقارنة بمؤشري السندات التقليدية خلال فترة الدراسة؛ المخاطرة في المدى الطويل هي الأعلى بالنسبة للصكوك. علاوة المخاطرة موجبة للصكوك وللسندات التقليدية، لكن ذو قيمة أعلى للصكوك، كما أن عوائد الصكوك والسندات التقليدية ترتبط عكسيا مع ليبور كما توجد سببية في الاتجاهين بينهم. لا توجد استمرارية في الصدمات في عوائد مؤشر الصكوك على العكس بالنسبة للسندات التقليدية..,human,ai,95.31%,156
تهدف هذه الورقة البحثية إلى دراسة مسألة وضع النباتات على القبور من منظور فقهي مقارن. إذ تبحث في الأدلة الشرعية المتعلقة بهذه المسألة، وتستعرض آراء العلماء المختلفين، وتقيم النتائج المحتملة لهذا العمل.,ai,human,96.16%,32
إنّ اختلاف المنقول عن أئمة المذاهب الأربعة في الأصول له أسباب متعددة، لا يحسن بدارس علوم الشريعة أن تغيب عنه، ويُعدّ اختلاف الأصوليين في تفسير بعض المصطلحات الأصولية سببا رئيسا في تعدد واختلاف الآراء المنقولة عن أئمة المذاهب الأربعة في تلك الأصول الفقهية. وهذا البحث يهدف إلى تسليط الضوء على مدى تأثير خلاف الأصوليين في تفسير المصطلحات الأصولية، على الاختلاف في نقل آراء أئمة المذاهب الأربعة في تلك الأصول الفقهية المختلف في تفسيرها بين الأصوليين. وقد عرضت مصطلح الإجماع السكوتي نموذجا مفصّلا، يبيّن أثر اختلاف الأصوليين في مدلوله على اختلافهم في تحديد رأي الإمام الشافعي في حجيته، وفي اعتباره إجماعا.,human,ai,93.63%,100
هدف هذا المقال إلى البحث في الإعلامِ والمسرحِ الجامعيينِ والوسائطِ المتعددة، من خلال الجمع بين موضوعين بأهميةٍ متساويةٍ لكل منهما منفصلين، وبأشد أهمية لكليهما مترابطين، هما المسرحُ الجامعي في التحامه بتكنولوجيا الوسائط الجديدة والوسائط المتعددة، والإعلامُ الجامعي الالكتروني. مع اقتراح الاتجاه نحو إعلامٍ إلكتروني جامعي مسرحي تَسَاوُقاً والتطورات التكنولوجية التي تتداخل مع كل ما يتصل بالحياة البشرية. وقد قمنا بمحاولة توصيف الممارسة المسرحية والإعلامية في الجامعة، معتمدين في جمع البيانات والمعلومات على أداتي المقابلة الإلكترونية والملاحظة لمختلف المواقع الإلكترونية والمواد المنشورة على شبكة الانترنت والمتصلة بشكل مباشر أو غير مباشر بمفردات ومتغيرات الموضوع.وخلُصَ المقال إلى أن المسرح والإعلام داخل الجامعة يتجهان اليوم نحو عالم التقانة، لكن هذا الاتجاه لم ترافقه الاستجابة المدروسة لاشتراطات التكنولوجيا لتحقيق إضافة تخدمهما بالشكل الأمثل في زاويتهما المشتركة المتمثلة في الإعلام الجامعي المسرحي، وبالأخص الرقمي منه.,human,ai,98.47%,130
"تُعتَبر ""التاريخانية الجديدة"" مبحثا هاما من مباحث ""الدراسات الثقافية""، وهي توجه نقدي يؤكد على القيمة التأويلية للأدب، ويربط النص بسياقه الثقافي والسياسي والاجتماعي، ويهدف إلى كشف بنى الهيمنة وعلاقات القوة التي تخفيها النصوص.تنهل ""التاريخانية الجديدة"" من تخصصات معرفية مختلفة، كالأنثربولوجيا التأويلية ،والماركسية، كما تستند إلى جهود الفيلسوف الفرنسي""ميشال فوكو"" عن الخطاب والسلطة، حيث يُؤكد ""التاريخانيون الجدد"" أن النصوص الأدبية خطابات تعبر عن الصراعات السياسية التي حدثت في عصر الكاتب، وأن هذه الخطابات هي التي ترسم حياة الفرد داخل المجتمع.",human,ai,94.57%,79
سجلت الحظيرة العقارية في الجزائر تقلبات اقتصادية وسياسية وأمنية لعبت دورا كبيرا في نهب العقار الحضري، خاصة مع انتشار ظاهرة المضاربة في الأراضي الموجهة للبناء مما أدى إلى ارتفاع أسعار العقار، وهو ما دفع بالعديد من المواطنين للجوء إلى السكن الفوضوي أو السكن العشوائي الذي عرفته غالبية المدن الكبرى، بحيث أصبحت ظاهرة السكن الغير قانوني منتشرة في أكبر المدن، وهو ما شوه واجهة المدينة الجزائرية في ميدان العمران. وبما أن مهمة التشريع إيجاد الحلول القانونية لكل مشكل يحتاج لذلك صدر القانون رقم 08-15 المؤرخ في 20 يوليو 2015، كإجراء لتدارك وضعية العمران في المدن، ولإرساء القواعد المعمول بها في مدونة التهيئة والتعمير بين المواطنين، إلا أن الأخير واجه العديد من العراقيل على أرض الواقع مما أدى إلى عدم تحقيقه للنتائج التي أصدره المشرع الجزائري من أجلها.,ai,human,98.46%,126
إن حاجات الفرد للإنجاز متوافرة لدى جميع الأفراد ولكن بمستويات متباينة، وفي مجالات مختلفة، وقد لا يبلغ مستوى هذه الحاجات عند بعض التلاميذ لسبب أو لآخر حدا يمكّنهم من صياغة أهدافهم وبذل الجهود اللازمة لتحقيقها. لذلك يترتب على الأستاذ أو المدرب توجيه انتباه خاص لهؤلاء التلاميذ، وخاصة عندما يظهرون سلوكاً يدل على عدم رغبتهم في أداء أعمالهم المدرسية أو تدريباتهم الرياضية. لذلك فإن تكليف ذي الحاجة المنخفضة للإنجاز والنجاح بمهام سهلة نسبياً، يمكن أن يؤدي إلى استثارة حاجة التلميذ للإنجاز وزيادة رغبته في بذل الجهد والنجاح. لأن النجاح يمكنه من الثقة بنفسه وقدراته، ويدفعه لبذل المزيد من الجهد.كما يستطيع الأستاذ أو المدرب زيادة دافعية التلاميذ للإنجاز من خلال تمكينهم من صياغة أهدافهم بإتباع العديد من النشاطات، كتدريبهم على تحديد أهدافهم التعليمية وصياغتها بلغتهم الخاصة، ومناقشتها معهم، ومساعدتهم على اختيار الأهداف التي يقرون بقدرتهم على إنجازها، بما يتناسب مع استعداداتهم وجهودهم، وبالتالي يساعدهم على تحديد الاستراتيجيات المناسبة التي يجب إتباعها أثناء محاولة تحقيقها.,human,ai,99.56%,152
يتمحور موضوع البحث حول إبراز جهود الأسلوبيين العرب في إثراء الدرس الأسلوبي الحديث، بداية بمرحلة التكيف والقبول والتي سعت إلى إرساء قواعد الدرس الأسلوبي العربي من خلال الترجمة والتأليف والكتابة التي أخذت اتجاهات ثلاثة، اتجاه حداثي احتضن الأسلوبية وتعصب لها، واتجاه تراثي ربط الأسلوبية بالبلاغة القديمة، واتجاه ثالث تراثي- حداثي، حاول التوفيق بينهما أي التأصيل لأسلوبية في إطار البلاغة العربية.وتركزت الدراسات حول المفاهيم والتعاريف وتحديد المرجعيات وترجمة المصطلح، ثم انتقلت إلى التأليف للأسلوبية التطبيقية من خلال توظيف الأسلوبية النظرية على النصوص الأدبية العربية.وأخذت كذلك هذه الكتابات اتجاهات ثلاث، اتجاه سعى إلى التأسيس للأسلوبية كمنهج نقدي في ثقافتنا المعاصرة واتجاه تناول الأسلوبية من منظور بلاغي صرف، واتجاه ثالث حاول توظيف الأسلوبية وفق ثقافتنا العربية.,human,ai,97.58%,113
تعتمد الأمم عبر مر الأزمنة والعصور على لغات تعبر بها عن واقعها المعيش بكل حرية وطلاقة، وعما يصادفها من مواقف مختلفة في حياتها اليومية، ويتضح أن هذا إنما يتم عن طريق التعبير إما شفهيا وإما كتابيا. ولما كان التعبير الشفهي أسبق من التعبير الكتابي، فإن ما يلاحظ هو أنه يتوجب على أفراد المجتمع الواحد استعمال التعبير الشفهي كوسيلة للتعبير عما يختلج بكيانهم، وما يجول بخواطرهم، وما يدور بأذهانهم من أحاسيس ومشاعر وأفكار وغيرها، وعليه فما المقصود بالتعبير الشفهي. وأين تكمن أهميته. وما هي التقنيات المعتمدة لإنجاح تدريسه؟.,ai,human,98.68%,87
تتناول هذه الدراسة أهم مظاهر التضامن الأهلي الجزائري مع الدولة العثمانية باعتبارها عاصمة الخلافة الإسلامية وحليفتها ألمانيا خلال الحرب العالمية الأولى. حيث تنوعت مظاهر هذا التضامن وأشكاله من تعاطف شعبي عكسته القصائد والأغاني واقتناء صور الزعماء و رموزهم (شعاراتهم) إلى تشكيل خلايا سرية لإثارة التمردات وإزعاج النفوذ الفرنسي وتحريض الجنود الجزائريين على الفرار من المعسكرات الفرنسية والالتحاق بالمعسكرات الألمانية. كما حاولت الدراسة إبراز مدى أهمية وخطر هذا التضامن على المصالح الفرنسية وموقف السلطات الفرنسية من ذلك.,human,ai,100.00%,76
يتّفق جلّ اللغويين على العديد من الجماليّات التي ترقى بكلام الله عز وجل وتسمو به نحو الإفهام مع مراعاة طرق الأداء باعتباره فنّ النّطق السليم وصولا إلى ثلاث معان رئيسة وهي: الدلالات التصويرية، والإثارة الوجدانية، والروعة الجمالية، ففنّ الأداء هو المسيطر على الدراسات الحديثة من مثل علم الأصوات وأساليب التواصل وفن الإلقاء.,ai,human,69.85%,52
"هذا البحث عبارة عن تحقيق جواب في مشكل القرآن والحديث، لأبي عبد الله الشريف التلمساني، حيث سئل عن وجه الجمع بين قوله تعالى: ﴿ قل كل من عند الله﴾، وقوله: ﴿ما أصابك من حسنة فمن الله وما أصابك من سيئة فمن نفسك ﴾، وبين قوله صلى الله عليه وسلم: «والخير كله بيديك»، وقوله: «والشر ليس إليك».يعبر هذا الجواب عن شخصية الشريف التلمساني المفسر المفزوع إليه فيما يتعلق بمشكل القرآن والحديث من أمور الاعتقاد، حاول فيه الشريف التلمساني رفع الإشكالات التي قد تطرأ عند تأويل الآيتين والحديثين، إشكالات متعلقة بالفعل الإلهي، والفعل الإنساني، والعلاقة بينهما... وتضمن التقديم لهذا النص التراثي فوائد وجديدا نبهنا عليها في المقدمة؛ منها:التعريف بتأليف في ترجمة الشريف التلمساني؛ وهو المتضمن للجواب، كان في حكم المفقود، ذكره التنبكتي في ""نيل الابتهاج""، وقال إنه اختصره في تأليف سماه ""القول المنيف""، وذكرنا منه فوائد في ترجمة التلمساني، كما أثبتنا خطأ نسبة ""القول المنيف"" إلى أبي العباس الونشريسي....",human,ai,79.75%,147
تناولت هذه الورقة التطور التاريخي لزراعة الآلية المطرية في كردفان، السودان، والتي ترافق مع إدخال زراعة القطن في المنطقة، وتحلل الأسباب وراء إدخال هذا النمط الزراعي من قبل الإدارة البريطانية، واستغلالها لعوامل طبيعية وتقنية، مع التركيز على كيفية تعارض نتائج إدخال هذا النمط مع سياسات الإدارة البريطانية الهادفة إلى عزل المنطقة عن التأثيرات والثقافة الإسلامية العربية في بقية السودان، مما أدى إلى تغيير موقفها من دعم وتشجيع الزراعة الآلية، وبالتالي عرقلة أي تقدم يمكن أن يؤدي إلى نهضة اقتصادية اجتماعية في المنطقة، وفتحها على الأسواق المحلية والعالمية، وربطها بالمراكز الكبرى في السودان، في إطار داعم لتطور قطاع الرأسمالي في المنطقة خدمة لمصالحها الاستراتيجية، كما ناقشت الورقة اهتمام الدولة بعد الاستقلال بهذا النوع من الزراعة، وتخصيص الحكومات الوطنية أهمية كبيرة لها، نظراً لدورها الواسع في الاقتصاد الوطني.,ai,human,95.06%,126
یعتبر العیب في المنتجات أساس قیام مسؤولیة المنتج و من أھم أركان المسؤولیة المدنیة للتي تقع علیھ ، و علیھ فإنھ على المتضرر إثبات وجود العیب في المنتوج و كونھ السبب المباشر في جعل المنتوج ضارا للمستھلك المتضرر خاصة و أن نظام المسؤولیة عن المنتجات تتطلب منا أن نكون قادرین على تمییز المنتوج المعیب خاصة و أن العیب یظھر في صور و أشكال مختلفة. و علیھ فان مسألة تحدید مفھوم العیب في المنتجات من العناصر الأساسیة في تحدید نظام مسؤولیة المنتج و على ھذا الأساس ، نطرح الإشكالیة التالیة : كیف تم تحدید مفھوم العیب في المنتوج في إطار الاتفاقیات الدولیة و القوانین الداخلیة ؟ و في ھذا الإطار سنتكلم عن مفھوم العیب في كل من اتفاقیة لاھاي حول القانون الواجب التطبیق بشأن المسؤولیة عن المنتجات 1972 و اتفاقیة سترانسبورغ لدول المجلس الأوربي بشأن مسؤولیة المنتج عن الأضرار البدنیة و الوفاة 1977 و اتفاقیة دول السوق الأوربیة المشتركة الخاصة بنظام مسؤولیة المنتج لعام 1988 ،إضافة بعض القوانین الداخلیة)القانون الجزائري،الأمریكي،الیاباني والفرنسي(.,ai,human,98.56%,160
هذا العمل السريع يهدف إلى مناقشة مسألتين مهمتين في تاريخ القاعدة تيهرت القديمة (كليس مدينة العاصمة الرستمية الشهيرة بتيهرت البيضاء)، كذلك سيكون من حيث تتبع الأحداث التاريخية المعلنة في مصادر كتب الرحلة مثل الأوصاف والتاريخ العام حول المدينة منذ ما يسبق الفتح الأموي للمغرب خلال ستينيات القرن السابع، ومتابعة البحث عن إمكانية تطور كصف إلى رؤيتها اليوم. في القضية الثانية، كانت تبدو معقدة نسبيا سنحاك على ضوء بعض المعلومات الشحيحة الكشف عن ؤبمل التطورات التي وصلت إليها الفضاء العمراني، خصوصا فيما يتعلق بالفصل بين بناءات المدينة القديمة كما ظهر عليها من الإنشاءات المستحدثة خلال العصر الإسلامي الوسيط.,ai,human,94.27%,97
تطور الحق في بيئة سليمة للمواطن من خلال مصادقة العديد من الدول لاتفاقيات دولية تعنى بالمجال البيئي، وارتقت الدول بهذا الحق من خلال جعله حقا من الحقوق الدستورية التي يتمتع بها المواطن. وأصدرت هذه الدول من خلال التزاماتها الدولية وسياستها الوطنية في المجال البيئي منظومة تشريعية مهمة تعنى بالبيئة. نظمت هذه النصوص آليات حماية البيئة سواء من حيث الهيئات المخول لها العمل في هذا المجال، أو من خلال مضمون التشريع الذي يعرف البيئة ويحدد مكوناتها سواء في إطارها العلمي، التقني التكنولوجي والاقتصادي إلى غيره من الصور التي يمكن أن تتخذها البيئة. تعتمد هذه الورقة البحثية على تقييم النظام التشريعي البيئي في الجزائر من خلال دسترة الحق في بيئة سليمة وأثر هذه الدسترة على الحوصلة التشريعية في المجال البيئي. ويتم معالجة ذلك من خلال تبيان تطور موضوع البيئة في الدساتير الجزائرية، تحديد التباين في المنهج المؤسساتي البيئي في الجزائر وتنوع مجالات التشريع البيئي.,ai,human,97.00%,142
"عمَدت الروائيّة المغاربيّة إلى محاكاة واقعها، فتطرّقت لكلّ ما يربط المرأة بواقعها ومجتمعها الذي شكّلت فيه علاقتها بالرجل هاجسها الأساس إذ لطالما كان مضادّا لذاتها الأنثويّة، فتشبعت نصوصها الروائيّة بواقع المرأة المأزوم بفعل مجتمعها الذكوريّ الذي مارس عليها مختلف أشكال التّسلط والهيمنة ممّا جعلها في صراع دائم معه. هذا الصّراع هو ما تتمحور حوله دراستنا التي تهدف إلى رصد مظاهر حضور المجتمع الذّكوريّ وعلاقته بالمرأة في الرّواية النّسائيّة المغاربيّة من خلال رواية ""العمامة والطربوش"" لصبرينة بن عزيزة.",human,ai,95.66%,77
